ref_code,piece_type,piece_name,piece_brand,vehicle_make,vehicle_model,detail_ht
VM-402GL,Glace,GLASSE RET AVEO 11 G,VIEW MAX,Chevrolet,Aveo,1600.0
VM-1818GR,Glace,GLASSE RET BERLINGO 12/PARTNER 13 D,VIEW MAX,Peugeot / Citroën,Partner / Berlingo,2600.0
VM-8118GHL,Glace,GLASSE RET BERLINGO 12/PARTNER 13 G,VIEW MAX,Peugeot / Citroën,Partner / Berlingo,2600.0
VM-8118GL,Glace,GLASSE RET BERLINGO 12/PARTNER 13 G,VIEW MAX,Peugeot / Citroën,Partner / Berlingo,2600.0
VM-8118GHR,Glace,GLASSE RET BERLINGO 12/PARTNER 13D,VIEW MAX,Peugeot / Citroën,Partner / Berlingo,2600.0
VM-118GR,Glace,GLASSE RET BERLINGO 96/PARTNER -96 D,VIEW MAX,Peugeot / Citroën,Partner / Berlingo,1700.0
VM-118GL,Glace,GLASSE RET BERLINGO 96/PARTNER -96 G,VIEW MAX,Peugeot / Citroën,Partner / Berlingo,1700.0
VM-115GR,Glace,GLASSE RET BOXER 94-99 D,VIEW MAX,Peugeot,Boxer,2500.0
CAR-002411,Glace,GLASSE RET BOXER DUCATO JUMPER G,,Citroën / Fiat / Peugeot,Jumper / Ducato / Boxer,2400.0
GLA-001,Glace,GLASSE RET BOXER G,,Peugeot,Boxer,2500.0
2K5,Glace,GLASSE RET CADDY 18-21 G+D,,Volkswagen,Caddy,3500.0
7701036390,Glace,GLASSE RET CAMPUS G,,,nan,1200.0
CAR-40256,Glace,GLASSE RET CLIO /MEGANE 95-14,,Renault,Clio / Megane,1600.0
VM-6136AGL,Glace,GLASSE RET CLIO 05 G,VIEW MAX,Renault,Clio,1900.0
530592001,Glace,GLASSE RET CLIO 09-12,,Renault,Clio,1800.0
GA4682,Glace,GLASSE RET CLIO 94,,Renault,Clio,1200.0
VM-6126GHR,Glace,GLASSE RET CLIO4 12 D,VIEW MAX,Renault,Clio 4,2300.0
530590107,Glace,GLASSE RET DUSTER 10-12/MICRA 10 G,GIVING,Dacia,Duster,1500.0
530590106,Glace,GLASSE RET DUSTER 10-12/MICRA 10 DEG D,GIVING,Dacia,Duster,1800.0
530510103,Glace,GLASSE RET EXPERT 08 D,,Peugeot,Expert,1900.0
VM-171NGR,Glace,GLASSE RET GOLF3 92 D,VIEW MAX,Volkswagen,Golf 3,1600.0
VM-171NGL,Glace,GLASSE RET GOLF3 92 G,VIEW MAX,Volkswagen,Golf 3,1600.0
CAR--202410,Glace,GLASSE RET GOLF4 98 G,CARMAN,Volkswagen,Golf 4,1900.0
VM-188AGHL,Glace,GLASSE RET GOLF4 98 G,VIEW MAX,Volkswagen,Golf 4,2500.0
VM-197GHR,Glace,GLASSE RET GOLF5 03/PASSAT 03 DEG D,VIEW MAX,Volkswagen,Golf 5 / Passat,2200.0
VM-197AGHL,Glace,GLASSE RET GOLF5 03/PASSAT 03 DEG G,VIEW MAX,Volkswagen,Golf 5 / Passat,2200.0
CAR-002423,Glace,GLASSE RET GOLF5 JETTA 05/10 PASSAT 03-10 G,CARMAN,Volkswagen,Golf 5 / Passat / Jetta,2400.0
